id,title,role,constituent,classification,medium,date
2300,"Mayta Capac, Fourth Inca, 1 of 14 Portraits of Inca Kings",Artist,Unknown,Painting,Oil on canvas,mid-18th century (probably)
2302,"Inca Roca, Sixth Inca, 1 of 14 Portraits of Inca Kings",Artist,Unknown,Painting,Oil on canvas,mid-18th century (probably)
2308,"Huayna Capac, Twelfth Inca, 1 of 14 Portraits of Inca Kings",Artist,Unknown,Painting,Oil on canvas,mid-18th century (probably)
2558,Mirror,Maker,Napier,Cosmetic,"Silver, mirrored glass",ca. 1928
3194,Kongō-kai Mandara,,,Painting,"Opaque watercolor, ink and gold on silk",14th century
3203,Mummy of a Dog,,,"Remains, Human","Animal remains, linen, pigment",305 B.C.E.-395 C.E.
3345,Inner Cartonnage of Gautseshenu,Culture,Egyptian,Funerary Object,"Linen, plaster, pigment, human remains",ca. 700-650 B.C.E.
3449,Stela of Ramesses II,Culture,Nubian,Sculpture,Sandstone,ca. 1279-1213 B.C.E.
3454,Pair Statue of Nebsen and Nebet-ta,,,Sculpture,"Limestone, pigment",ca. 1400-1352 B.C.E.
3518,Woman with a Baby Stacking Fruit,Culture,Egyptian,Sculpture,Limestone,ca. 670-650 B.C.E.
3600,Funerary Stela of Intef and Senettekh,,,Sculpture,Limestone,ca. 2065-2000 B.C.E.
3623,Head from a Female Sphinx,,,Sculpture,Chlorite,ca. 1876-1842 B.C.E.
3624,King as Winged Sphinx,,,Sculpture,"Wood, pigment",ca. 1352-1336 B.C.E.
3701,Royal Lute Player,,,Sculpture,"Limestone, pigment",ca. 1352-1336 B.C.E.
3711,Amulet in Form of Hathor Head Inscribed for Hatshepsut & Senenmut,,,Accessory,Carnelian,ca. 1478-1458 B.C.E.
3855,Head of Vishnu,,,Sculpture,Sandstone,7th century
3885,Dragon Jar,,,Ceramic,Porcelain with cobalt decoration under glaze,late 19th century
4043,Heart Scarab of Bapu,,,Accessory,Jasper,ca. 1539-1075 B.C.E.
4146,Funerary Stela of Thenet,,,Funerary Object,"Wood, stucco, pigment",ca. 945-712 B.C.E.
4155,Anubis,,,Sculpture,"Wood, pigment",664-30 B.C.E.
4313,Seated Buddha Shakyamuni,,,Sculpture,Gilt bronze,965 or 1025
4741,Medallion Ushak Carpet,,,Textile,Wool,first half 16th century
4765,"Don Juan Xavier Joachín Gutiérrez Altamirano Velasco, Count of Santiago de Calimaya",Artist,Miguel Cabrera,Painting,Oil on canvas,ca. 1752
4778,Palm Wine Cup (Mbwoongntey),Culture,Kuba (Bushoong subgroup),Food/Drink,Wood,19th century
4899,Jug (Mashraba) with Human-Headed Inscription and Zodiac Signs,,,Vessel,"Copper alloy, engraved, inlaid and overlaid with silver",late 12th-early 13th century
37207,Inlay Profile Head,,,Sculpture,"Red quartzite, pigment",ca. 1353-1336 B.C.E.
56000,Statuette of Aphrodite Anadyomene,,,Sculpture,Faience,late 2nd century B.C.E.
63510,Carved and Inlayed Spiral Pipe Stem,Culture,"Eastern, Sioux",Smoking/Drugs,"Ash wood, lead",early 19th century
65131,Relief with Maize Goddess (Chicomecóatl),Culture,Aztec,Sculpture,Stone,1440-1521
83162,Tripod Bowl with Skull,Culture,Mixteca-Puebla,Vessel,"Ceramic, pigments",1000-1500
90656,"Lion, from the El Dorado Carousel, Coney Island, Brooklyn",Manufacturer,Hugo Haase,Architectural Element,Zinc sheeting,ca. 1902
101615,Bottle,,,Vessel,"Buncheong ware, stoneware with white-slip decoration",mid-to late 15th century
117219,Situla with Religious Scenes in Raised Relief,,,Vessel,Bronze,305-30 B.C.E.
117224,Sistrum (Rattle),,,Musical Instrument,Bronze,332–30 B.C.E.
123076,Female Figure,,,Sculpture,"Clay, pigment",ca. 3650 B.C.E.-3300 B.C.E.
184058,Plant Form,Artist,Robert Laurent,Sculpture,Wood on separate wood base,ca. 1920-1923
185791,Left Foot from an Anthropoid Coffin,,,Sculpture,"Wood, gesso, pigment",30 B.C.-2nd century C.E.
167,The First Harvest in the Wilderness,Artist,Asher B. Durand,Painting,Oil on canvas,1855
365,Black Pansy & Forget-Me-Nots (Pansy),Artist,Georgia O'Keeffe,Painting,Oil on canvas,1926
629,Still Life with Three Castles Tobacco,Artist,William Michael Harnett,Painting,Oil on canvas,1880
941,Abstraction #2,Artist,Warren Wheelock,Sculpture,Applewood with darker wood base,1920s
1207,Mug,Maker,Tiffany Studios,Vessel,Opalescent glass,ca. 1900
1391,Cup and Saucer,Manufacturer,Union Porcelain Works,Food/Drink,Porcelain,1876
1392,Sugar Bowl and Cover,Manufacturer,Union Porcelain Works,Food/Drink,Porcelain,ca. 1876
1393,Cream Pitcher,Manufacturer,Union Porcelain Works,Food/Drink,Porcelain,1876
1678,Side Chair,Designer,Frank Lloyd Wright,Furniture,"Oak, upholstery",1904
1695,Pitcher,Decorator,F. K. M. Kropp,Ceramic,Porcelain,1850-1861
1927,Correalist Rocker,Designer,Frederick J Kiesler,Furniture,"Plywood, linoleum",ca. 1942
1945,Box,Maker,Elizabeth E. Copeland,Container,"Silver, enamel",ca. 1914
2016,Mountain Stream,Artist,John William Hill,Watercolor,Watercolor over graphite on wove paper,1863
2060,Tri-symmetric Sculptured Table,Designer,Vladimir Kagan,Furniture,"Walnut, glass",ca. 1953
2101,The Mellow Pad,Artist,Stuart Davis,Painting,Oil on canvas,1945-1951
2151,"""Silver Streak"" Iron",Manufacturer,Saunders Corporation,Tool,"Pyrex glass, metal, cloth and plastic",ca. 1946
2400,Armchair,Maker,William Savery,Furniture,"Walnut, yellow pine, modern upholstery",ca. 1760
2432,Candelabrum,Manufacturer,Cornelius & Baker,Light,Gilded bronze,ca. 1853
2575,Bowl,Designer,Michael Higgins,Vessel,Glass,Designed and made ca. 1955
2586,Medallion,Modelled by,William Hackwood,,terracotta on basalt (stoneware),after 1786
2940,Cup,,,Ceramic,"Ceramic; fritware, painted in black and cobalt blue under a transparent glaze; heavy iridescence; rim and handle repaired",13th century
3344,Sarcophagus Lid for Pa-di-Inpu,,,Funerary Object,Limestone,ca. 305-30 B.C.E.
3428,Tomb Pillar,,,Ceramic,Earthenware,206 B.C.E.-220 C.E.
3429,Lokapala on a Recumbent Bull,,,Ceramic,Earthenware with glaze,618-906
